t,avg_L
0.000000000000000000e+00,9.999999999990618615e-01
1.000000000000000021e-02,4.348837205861950939e-02
2.000000000000000042e-02,1.078111270594402649e-01
2.999999999999999889e-02,8.654749988968699070e-02
4.000000000000000083e-02,3.099610548654740949e-01
5.000000000000000278e-02,8.274349611703163410e-02
5.999999999999999778e-02,9.329421790595196495e-02
7.000000000000000666e-02,2.125841392074979130e-01
8.000000000000000167e-02,1.055471174901412984e-01
8.999999999999999667e-02,1.765734755133551992e-01
1.000000000000000056e-01,7.061256277073829635e-02
1.100000000000000006e-01,1.532766864097455939e-01
1.199999999999999956e-01,2.732485963283211652e-02
1.300000000000000044e-01,1.509370674904007281e-01
1.400000000000000133e-01,6.117783563270691449e-02
1.499999999999999944e-01,2.174817191346122280e-01
1.600000000000000033e-01,5.391150547760888839e-02
1.700000000000000122e-01,8.915982374716739656e-02
1.799999999999999933e-01,1.501062009279766352e-01
1.900000000000000022e-01,2.531792371685200743e-02
2.000000000000000111e-01,1.495221392983597519e-01
2.099999999999999922e-01,7.323141776344890830e-02
2.200000000000000011e-01,3.782001757448382739e-01
2.300000000000000100e-01,7.757743878359486811e-02
2.399999999999999911e-01,1.496200967189053321e-01
2.500000000000000000e-01,2.013095957273469960e-01
2.600000000000000089e-01,2.133932700008057126e-01
2.700000000000000178e-01,1.015272065719276806e-01
2.800000000000000266e-01,5.646116890060078053e-02
2.899999999999999800e-01,1.551161005180734520e-01
2.999999999999999889e-01,1.028037753681810551e-01
3.099999999999999978e-01,2.375108112721120990e-01
3.200000000000000067e-01,1.755368774838215740e-01
3.300000000000000155e-01,2.428504437025904017e-01
3.400000000000000244e-01,4.927686034053069958e-02
3.500000000000000333e-01,1.906906469882628796e-01
3.599999999999999867e-01,8.794778244844388138e-02
3.699999999999999956e-01,1.418141313213753529e-01
3.800000000000000044e-01,5.752877526431123684e-02
3.900000000000000133e-01,2.862453704400813592e-02
4.000000000000000222e-01,1.268855499224016414e-01
4.100000000000000311e-01,2.179360979511851815e-02
4.199999999999999845e-01,2.100108933785518328e-01
4.299999999999999933e-01,3.437093636629304227e-02
4.400000000000000022e-01,1.081618041016293996e-01
4.500000000000000111e-01,3.621664213838814150e-02
4.600000000000000200e-01,1.440602486770438950e-01
4.700000000000000289e-01,4.204452082680464053e-02
4.799999999999999822e-01,4.949767254873720101e-02
4.899999999999999911e-01,1.089205217692962163e-01
5.000000000000000000e-01,5.068609936185185239e-02
5.100000000000000089e-01,1.904868088756369038e-01
5.200000000000000178e-01,4.486573699001450422e-02
5.300000000000000266e-01,1.889569294042728054e-01
5.400000000000000355e-01,5.136993586075102453e-02
5.500000000000000444e-01,1.742814691855489595e-01
5.600000000000000533e-01,1.139241250259367677e-01
5.700000000000000622e-01,8.090327926719759200e-02
5.799999999999999600e-01,1.661606356386112204e-01
5.899999999999999689e-01,1.272804901984253001e-01
5.999999999999999778e-01,1.882698513575902510e-01
6.099999999999999867e-01,3.861233026654971312e-02
6.199999999999999956e-01,1.972473204143752046e-01
6.300000000000000044e-01,6.521683887566040450e-02
6.400000000000000133e-01,8.535724110907544349e-02
6.500000000000000222e-01,4.899469492485755695e-02
6.600000000000000311e-01,1.672214036327848707e-01
6.700000000000000400e-01,4.165114644947288253e-02
6.800000000000000488e-01,4.929365011539160735e-02
6.900000000000000577e-01,4.582674476409022424e-02
7.000000000000000666e-01,7.002533260706733653e-02
7.099999999999999645e-01,4.490847899654887287e-02
7.199999999999999734e-01,3.878532213909205439e-02
7.299999999999999822e-01,1.164698278367046480e-01
7.399999999999999911e-01,2.527178637735564420e-02
7.500000000000000000e-01,6.762687858120738915e-02
7.600000000000000089e-01,2.826951749699462696e-02
7.700000000000000178e-01,1.376378881387525233e-01
7.800000000000000266e-01,1.557228932545525781e-02
7.900000000000000355e-01,6.933115858622668215e-02
8.000000000000000444e-01,6.615364459429427801e-02
8.100000000000000533e-01,6.510243882689270567e-02
8.200000000000000622e-01,4.613324710594104983e-02
8.300000000000000711e-01,1.768706527616720897e-02
8.399999999999999689e-01,6.002330640826197827e-02
8.499999999999999778e-01,2.899848931277863515e-02
8.599999999999999867e-01,4.025454395209356051e-02
8.699999999999999956e-01,3.238555663403442503e-02
8.800000000000000044e-01,1.179599138807722464e-01
8.900000000000000133e-01,4.124091614801581041e-02
9.000000000000000222e-01,4.895029950654452428e-02
9.100000000000000311e-01,2.288677624370110547e-02
9.200000000000000400e-01,4.137817150554254364e-02
9.300000000000000488e-01,5.446091401554056799e-02
9.400000000000000577e-01,1.671053944479308079e-02
9.500000000000000666e-01,5.391886256249887877e-02
9.599999999999999645e-01,4.252744957737159687e-03
9.699999999999999734e-01,2.675876367441202414e-02
9.799999999999999822e-01,6.481642223092024153e-03
9.899999999999999911e-01,1.230781394583431269e-02
1.000000000000000000e+00,1.136353071610904375e-02
1.010000000000000009e+00,2.692603633100576488e-02
1.020000000000000018e+00,3.203408706377929016e-02
1.030000000000000027e+00,3.021625604932866999e-02
1.040000000000000036e+00,2.147417228219605095e-02
1.050000000000000044e+00,1.409759352285445445e-02
1.060000000000000053e+00,1.403224645055063668e-02
1.070000000000000062e+00,8.981456134648261799e-03
1.080000000000000071e+00,2.250970523009252627e-02
1.090000000000000080e+00,3.059322836022660558e-03
1.100000000000000089e+00,3.815386457302280543e-02
1.110000000000000098e+00,4.643801311865695947e-03
1.120000000000000107e+00,6.833958405526245616e-03
1.130000000000000115e+00,7.902588901689653819e-03
1.140000000000000124e+00,7.128532711869315155e-03
1.150000000000000133e+00,6.619486405019582922e-03
1.159999999999999920e+00,4.595476393208558843e-03
1.169999999999999929e+00,7.316008176822732384e-03
1.179999999999999938e+00,6.695156220429166090e-03
1.189999999999999947e+00,1.285328246356514346e-02
1.199999999999999956e+00,2.133941111579309036e-03
1.209999999999999964e+00,1.019062590448812852e-02
1.219999999999999973e+00,1.576074034854640883e-03
1.229999999999999982e+00,2.397922181089152255e-02
1.239999999999999991e+00,5.841276993542062271e-03
1.250000000000000000e+00,2.223212987275952849e-03
1.260000000000000009e+00,3.802684817262917249e-03
1.270000000000000018e+00,3.788660338104494498e-04
1.280000000000000027e+00,4.458162801698447100e-03
1.290000000000000036e+00,2.076308267181335016e-03
1.300000000000000044e+00,1.014183810274101819e-03
1.310000000000000053e+00,2.849162095475159164e-03
1.320000000000000062e+00,6.902289698666840348e-03
1.330000000000000071e+00,6.484312476661410751e-03
1.340000000000000080e+00,7.484145892129354105e-03
1.350000000000000089e+00,5.088436628180722718e-03
1.360000000000000098e+00,6.688069990888987661e-03
1.370000000000000107e+00,1.000739349117445165e-02
1.380000000000000115e+00,3.285939866470984029e-04
1.390000000000000124e+00,6.695260612892960962e-03
1.400000000000000133e+00,2.275576829220773284e-03
1.409999999999999920e+00,5.019118044564982277e-03
1.419999999999999929e+00,4.633741977169498344e-03
1.429999999999999938e+00,8.187223548749603466e-03
1.439999999999999947e+00,4.171897400865686931e-03
1.449999999999999956e+00,4.031848536583858278e-03
1.459999999999999964e+00,8.085245075205920937e-03
1.469999999999999973e+00,1.428590658541740869e-03
1.479999999999999982e+00,3.360074258090976762e-03
1.489999999999999991e+00,2.636909442357125970e-03
1.500000000000000000e+00,8.297429181711613033e-03
1.510000000000000009e+00,2.381707655516742284e-03
1.520000000000000018e+00,1.152415434900019159e-03
1.530000000000000027e+00,1.589016943637067310e-03
1.540000000000000036e+00,4.797935161534470395e-03
1.550000000000000044e+00,2.180038808813895661e-03
1.560000000000000053e+00,1.059457858482913423e-03
1.570000000000000062e+00,1.461229917963743517e-03
1.580000000000000071e+00,1.726594037526860224e-03
1.590000000000000080e+00,3.493108607665255765e-03
1.600000000000000089e+00,1.713490188944601523e-03
1.610000000000000098e+00,1.692211539428059835e-03
1.620000000000000107e+00,7.169927252949436338e-04
1.630000000000000115e+00,2.764565305909279323e-03
1.640000000000000124e+00,1.354559486071227510e-03
1.650000000000000133e+00,1.509333681158994689e-02
1.660000000000000142e+00,2.671358548239145467e-03
1.669999999999999929e+00,4.359226110961809952e-03
1.679999999999999938e+00,5.296393750785746007e-03
1.689999999999999947e+00,2.823507982561350698e-03
1.699999999999999956e+00,3.976358233483222489e-03
1.709999999999999964e+00,1.141065145690436195e-03
1.719999999999999973e+00,2.589564446459162103e-03
1.729999999999999982e+00,3.256796223539667524e-04
1.739999999999999991e+00,1.606988986856871561e-03
1.750000000000000000e+00,1.811997554092232903e-04
1.760000000000000009e+00,3.197554168681326740e-03
1.770000000000000018e+00,5.479941207428460585e-04
1.780000000000000027e+00,1.073507531175517003e-03
1.790000000000000036e+00,1.855838217626096243e-03
1.800000000000000044e+00,1.062120896666835781e-03
1.810000000000000053e+00,2.686905144525968299e-03
1.820000000000000062e+00,3.039554196111303062e-04
1.830000000000000071e+00,3.104766170285081731e-03
1.840000000000000080e+00,6.129371465832147807e-04
1.850000000000000089e+00,4.741303686312902223e-04
1.860000000000000098e+00,1.034645424877684086e-03
1.870000000000000107e+00,1.587703796044663985e-03
1.880000000000000115e+00,2.360793732659206010e-04
1.890000000000000124e+00,6.575972203202932586e-04
1.900000000000000133e+00,4.653562292368873337e-04
1.910000000000000142e+00,5.949999028853274023e-04
1.919999999999999929e+00,4.543800631871777089e-04
1.929999999999999938e+00,2.987390090486697052e-04
1.939999999999999947e+00,4.547503611349373517e-04
1.949999999999999956e+00,5.271227197875193952e-04
1.959999999999999964e+00,7.880138454578265294e-04
1.969999999999999973e+00,4.882520507707097937e-04
1.979999999999999982e+00,5.517763976288804755e-04
1.989999999999999991e+00,2.841745309621792736e-04
2.000000000000000000e+00,5.579640378465117179e-04
